t,score,threshold,alert,y_true,switching,err_phys,err_cyber,err_event,attack_type
151,0.47583819361084956,1.6816989055870812,0,0,0,1.0363833904266357,0.7715567946434021,0.0027781890239566565,none
152,1.7540891865092343,1.6816989055870812,0,0,0,1.8094911575317383,0.7402880787849426,0.0037994179874658585,none
153,1.0610149594427571,1.6816989055870812,0,0,0,1.3730708360671997,0.8526180982589722,0.003144131973385811,none
154,1.651137956445131,1.6816989055870812,0,0,0,1.5143744945526123,0.9596705436706543,0.003167208516970277,none
155,1.6401328760580185,1.6816989055870812,0,0,0,1.2552144527435303,1.034950613975525,0.0033477277029305696,none
156,1.6218397169778496,1.6816989055870812,0,0,0,1.5186874866485596,0.9531344771385193,0.003393803723156452,none
157,2.4823859399195163,1.6816989055870812,0,0,0,1.3252116441726685,1.164841890335083,0.0034780383575707674,none
158,0.7438416990555856,1.6816989055870812,0,0,0,1.1789463758468628,0.8727792501449585,0.0034449445083737373,none
159,0.689121834145224,1.6816989055870812,0,0,0,1.1682511568069458,0.7502802610397339,0.0033219021279364824,none
160,1.494991901190845,1.6816989055870812,0,0,0,1.5813686847686768,0.9117509126663208,0.0031378930434584618,none
161,0.9441871911118169,1.6816989055870812,0,0,0,1.2961429357528687,0.8900827169418335,0.003169989911839366,none
162,0.5477885624570527,1.6816989055870812,0,0,0,1.0710945129394531,0.8185574412345886,0.002708523301407695,none
163,0.8991300121628352,1.6816989055870812,0,0,0,1.2985036373138428,0.7273584604263306,0.0032680798321962357,none
164,0.5933610670810746,1.6816989055870812,0,0,0,1.0849242210388184,0.8931626677513123,0.003199760802090168,none
165,0.890922826964047,1.6816989055870812,0,0,0,1.285234808921814,0.7734007835388184,0.003433450823649764,none
166,0.7384039617793834,1.6816989055870812,0,0,0,0.9704238176345825,0.9584461450576782,0.003085457719862461,none
167,0.3919805797341289,1.6816989055870812,0,0,0,0.9727967977523804,0.8447097539901733,0.0028330027125775814,none
168,0.6153491508725959,1.6816989055870812,0,0,0,1.132670283317566,0.7023770213127136,0.0027142383623868227,none
